name,address,postal_code,lat,lon,service_category,type
FOYER DE GROUPE COLTON,"4559, avenue d'Oxford",H4A2Y9,45.477298736572266,-73.62760162353516,community_service_211,Youth rehab
HÔPITAL DE LASALLE,"8585, terrasse Champlain",H8P1C1,45.420799255371094,-73.62339782714844,community_service_211,Hospital
CENTRE DE SERVICES AMBULATOIRES EN SANTÉ MENTALE SAINT-CHARLES,"2840, boulevard Saint-Charles",H9H3B6,45.446800231933594,-73.85379791259766,community_service_211,CLSC
CENTRE DE SERVICES EN DÉFICIENCE INTELLECTUELLE ET EN TROUBLES ENVAHISSANTS DU DÉVELOPPEMENT DE L'OUEST-DE-MONTRÉAL,"8000, rue Notre-Dame",H8R1H2,45.44889831542969,-73.6323013305664,community_service_211,Disability/Autism
CENTRE DE RÉADAPTATION EN DÉFICIENCE INTELLECTUELLE ET EN TROUBLES DU SPECTRE DE L'AUTISME PARC-DES-ROSERAIES,"7077, rue Beaubien Est, bureau 310",H1M2Y2,45.59360122680664,-73.55799865722656,community_service_211,Disability/Autism
CENTRE DE PROTECTION ET DE RÉADAPTATION POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION DÉCARIE,"4434, boulevard Décarie",H4A3P2,45.47999954223633,-73.62229919433594,community_service_211,Youth protection; Youth rehab
CENTRE DE PROTECTION DE L'ENFANCE ET DE LA JEUNESSE DE POINTE-AUX-TREMBLES,"13000, rue Sherbrooke Est",H1A3W2,45.65620040893555,-73.50900268554688,community_service_211,Youth protection
FOYER DE GROUPE POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION SAINT-VITAL,"10155, boulevard Saint-Vital",H1H4S7,45.5817985534668,-73.63710021972656,community_service_211,Youth rehab
CLSC DU LAC-SAINT-LOUIS,"180, avenue Cartier",H9S4S1,45.43899917602539,-73.82749938964844,community_service_211,CLSC
CLSC DE PIERREFONDS,"13800, boulevard Gouin Ouest",H8Z3H6,45.49720001220703,-73.84839630126953,community_service_211,CLSC
HÔPITAL GÉNÉRAL DU LAKESHORE,"160, avenue Stillview",H9R2Y2,45.44860076904297,-73.83370208740234,community_service_211,CLSC; Hospital
CLSC DE DORVAL-LACHINE,"3320, rue Notre-Dame",H8T1W8,45.43539810180664,-73.68150329589844,community_service_211,CLSC
HÔPITAL DE LACHINE,"650, 16e Avenue",H8S3N5,45.440799713134766,-73.677001953125,community_service_211,Hospital
CLSC DE SAINT-HENRI,"3833, rue Notre-Dame Ouest",H4C1P8,45.47880172729492,-73.58370208740234,community_service_211,CLSC
CLSC ET CENTRE DE SERVICES AMBULATOIRES DE VERDUN,"400, rue de l'Église",H4G2M4,45.46260070800781,-73.56939697265625,community_service_211,CLSC; Hospital
