name,lat,lon,service_category,address,type,source
Centre Communautaire MADA,45.49254,-73.648229,community_service_211,6875 Boulevard Décarie,community_centre,openstreetmap
Noor Cultural Center,45.49667,-73.64609,community_service_211,4844 Avenue de Courtrai,community_centre,openstreetmap
Chabad Hope Center,45.495169,-73.64742,community_service_211,5110 Avenue de Courtrai,charity,openstreetmap
The Living Legacy,45.494973,-73.647591,community_service_211,5120 Avenue de Courtrai,social_centre,openstreetmap
Chabad Chai Center Jewish Community Center,45.494927,-73.647632,community_service_211,5120 Avenue de Courtrai,community_centre,openstreetmap
Providence Notre-Dame-de-Grâce,45.481317,-73.621481,community_service_211,5240 Chemin de la Côte-Saint-Luc,group_home,openstreetmap
Centre communautaire turc,45.566159,-73.599598,community_service_211,3781 Rue Villeray,community_centre,openstreetmap
Autour du bébé,45.559616,-73.658125,community_service_211,1290 Rue Fleury Est,outreach,openstreetmap
La Station,45.459943,-73.54444,community_service_211,201 Rue Berlioz,community_centre,openstreetmap
Bureau de la communauté haïtienne de Montréal,45.545744,-73.604651,community_service_211,6970 Rue Marquette,community_centre,openstreetmap
CHSLD Manoir de l'Ouest de l'île,45.462888,-73.885635,community_service_211,17725 Boulevard de Pierrefonds,nursing_home,openstreetmap
Fondaiton kurde du Québec / Komela Kurda li Quebec,45.568429,-73.641407,community_service_211,2170 Avenue Charland,community_centre,openstreetmap
Centre Masson,45.546583,-73.576022,community_service_211,2705 Rue Masson,community_centre,openstreetmap
Centre Communautaire Petite-Côte,45.554237,-73.576764,community_service_211,5675 Rue Lafond,community_centre,openstreetmap
A deux mains,45.46569,-73.62789,community_service_211,,community_centre,openstreetmap
Petales Québec,45.550938,-73.675444,community_service_211,39A Boulevard Gouin Ouest,outreach,openstreetmap
Gap-Vies Inc,45.5648,-73.608405,community_service_211,3330 Rue Jarry Est,social_centre,openstreetmap
Entre-Maisons Ahuntsic - Centre des jeunes Saint-Sulpice,45.556123,-73.646799,community_service_211,9455 Avenue Olivier-Maurault,outreach,openstreetmap
Centre jeunesse de Montréal - Institut universitaire - Site Dominique-Savio-Mainbourg,45.55298,-73.645992,community_service_211,9335 Rue Saint-Hubert,outreach,openstreetmap
Teamsters,45.568664,-73.653309,community_service_211,,social_centre,openstreetmap
Centre social des cols bleus regroupés de Montréal,45.56488,-73.646241,community_service_211,,social_centre,openstreetmap
Partageons l'espoir,45.478136,-73.559265,community_service_211,625 Rue Fortune,social_facility,openstreetmap
Salle St-Jean Berchmans,45.541864,-73.591242,community_service_211,5945 Rue Cartier,community_centre,openstreetmap
Salle Cartier,45.541841,-73.591476,community_service_211,5945 Rue Cartier,community_centre,openstreetmap
Espace des Possibles Ahuntsic,45.549424,-73.647848,community_service_211,9269 Rue Lajeunesse,community_centre,openstreetmap
Centre d'hébergement de Louvain,45.548599,-73.654068,community_service_211,9600 Rue Saint-Denis,nursing_home,openstreetmap
Centre d'hébergement de soins logue durée Légaré,45.55859,-73.634948,community_service_211,Avenue Émile-Journault,nursing_home,openstreetmap
Les syndicats des employé-e-s d'Hydro-Québec,45.549612,-73.630248,community_service_211,1010 Boulevard Crémazie Est,social_centre,openstreetmap
Entre mamans et papas,45.5438,-73.549934,community_service_211,3363 Rue de Rouen,charity,openstreetmap
Centre Saint-Barthélemy,45.550439,-73.603378,community_service_211,7111 Avenue des Érables,community_centre,openstreetmap
Carrefour Jeunesse-Emploi Côte-des-Neiges - Ville Mont-Royal - Outremont,45.50235,-73.635088,community_service_211,6555 Chemin de la Côte-des-Neiges,outreach,openstreetmap
Centre culturel et communautaire de Cartierville,45.530019,-73.715757,community_service_211,12225 Rue Grenet,community_centre,openstreetmap
5150 Gaspé - Bâtiment,45.525024,-73.591223,community_service_211,5105 Avenue De Gaspé,community_centre,openstreetmap
L’Orangeraie,45.512356,-73.568447,community_service_211,,community_centre,openstreetmap
Centre communautaire des Phillippines - Centre Famas,45.494902,-73.636865,community_service_211,4725 Avenue Van Horne,community_centre,openstreetmap
Associacao Dos Pais Montreal,45.53823,-73.618002,community_service_211,333 Rue De Castelnau Est,community_centre,openstreetmap
Centrami,45.454711,-73.594731,community_service_211,6387 Boulevard Monk,outreach,openstreetmap
FADOQ,45.543294,-73.6186,community_service_211,7537 Rue Saint-Hubert,community_centre,openstreetmap
Centre des femmes d'ici et d'ailleurs,45.546109,-73.625326,community_service_211,8043 Rue Saint-Hubert,community_centre,openstreetmap
Parkinson Québec,45.517665,-73.564221,community_service_211,560 Rue Ontario Est,charity,openstreetmap
NDG'S homeless shelter,45.467831,-73.638533,community_service_211,6505 Avenue Somerled,shelter,openstreetmap
Le Dépôt centre communautaire d’alimentation,45.468165,-73.63776,food_bank,6450 Avenue Somerled,food_bank,openstreetmap
Centre de femmes La Marie Debout,45.547574,-73.536141,community_service_211,4001 Rue Sainte-Catherine Est,social_facility,openstreetmap
CRCS Saint-Zotique,45.472777,-73.583841,community_service_211,,community_centre,openstreetmap
Pavillon des aînés,45.478232,-73.565113,community_service_211,,outreach,openstreetmap
Réseau D'Entreaide de Verdun,45.454979,-73.567561,community_service_211,5132 Rue Wellington,community_centre,openstreetmap
La Maison Blue,45.456547,-73.571763,community_service_211,4926 Rue de Verdun,outreach,openstreetmap
Carrefour Parenfants,45.558253,-73.529547,community_service_211,5021 Rue Sainte-Catherine Est,outreach,openstreetmap
Accueil Bonneau,45.510256,-73.550996,community_service_211,,charity,openstreetmap
QPIRG,45.495659,-73.579758,community_service_211,,community_centre,openstreetmap
La Maison Boussonnière,45.526885,-73.598199,community_service_211,65 Rue Saint-Viateur Est,community_centre,openstreetmap
CHSLD des Seigneurs,45.489352,-73.570973,community_service_211,1800 Rue Saint-Jacques,nursing_home,openstreetmap
Centre communautaire La Patience,45.573457,-73.630741,community_service_211,9227 Boulevard Saint-Michel,community_centre,openstreetmap
Maison de la Famille de St-Michel,45.572219,-73.629229,community_service_211,9162 Boulevard Saint-Michel,community_centre,openstreetmap
Centre de solidarité lesbienne,45.521189,-73.577162,community_service_211,4126 Saint-Denis,community_centre,openstreetmap
Espace des possibles,45.537556,-73.601496,community_service_211,,community_centre,openstreetmap
Le Chaînon,45.517711,-73.586046,community_service_211,4373 Avenue de l'Esplanade,social_facility,openstreetmap
Maison L'Exode - Pavillon André-Dumont,45.555108,-73.548312,community_service_211,2590 Avenue Letourneux,outreach,openstreetmap
Centre Communautaire Rivière-Des-Prairies,45.650377,-73.577389,community_service_211,9140 Boulevard Perras,community_centre,openstreetmap
CHSLD de Saint-Michel,45.562113,-73.61066,community_service_211,3130 Rue Jarry Est,nursing_home,openstreetmap
La Maison d'Haïti,45.570685,-73.623569,community_service_211,,community_centre,openstreetmap
AIDS Community Care Montreal,45.524299,-73.561812,community_service_211,2075 Rue Plessis,outreach,openstreetmap
Société Saint-Vincent-de-Paul - Saint-Antoine-Marie-Claret,45.580244,-73.650533,food_bank,10630 Avenue Larose,food_bank,openstreetmap
Centre communautaire intergénérationnel,45.519944,-73.619301,community_service_211,999 Avenue McEachran,community_centre,openstreetmap
CACI Salaberry,45.532975,-73.705919,community_service_211,4800 Rue De Salaberry,social_facility,openstreetmap
Centre des aînés de Villeray,45.543793,-73.620213,community_service_211,7626 Rue Saint-Hubert,community_centre,openstreetmap
Vers Vous,45.545976,-73.625581,community_service_211,8042 Rue Saint-Hubert,community_centre,openstreetmap
Montreal Science Centre,45.504647,-73.55133,community_service_211,2 De la Commune St W,community_centre,openstreetmap
Centre Sanaaq,45.48927,-73.581539,community_service_211,1200 Rue du Sussex,community_centre,openstreetmap
Centre Action,45.519912,-73.702274,community_service_211,,social_facility,openstreetmap
Centrevie LifeCenter,45.519764,-73.701743,community_service_211,,community_centre,openstreetmap
Salle de réception Sofia,45.432782,-73.647949,community_service_211,,community_centre,openstreetmap
Air-Som/Prisme,45.432604,-73.648013,community_service_211,,social_centre,openstreetmap
ACEF du Sud Ouest de Montréal,45.451574,-73.593231,community_service_211,6734 Boulevard Monk,outreach,openstreetmap
CACI - Centre d'appui aux communautés immigrantes,45.526773,-73.716469,community_service_211,12049 Boulevard Laurentien,social_facility,openstreetmap
Le Sélection Île des Sœurs,45.448836,-73.55611,community_service_211,325 Chemin de la Pointe-Sud,group_home,openstreetmap
Résidence Ora,45.553889,-73.62601,community_service_211,,group_home,openstreetmap
Les Jardins Millen,45.556839,-73.668784,community_service_211,10800 Avenue Millen,group_home,openstreetmap
