ct_code,dguid,centroid_lon,centroid_lat
4620740.01,2021S05074620740.01,-74.255659,45.764739
4620750.04,2021S05074620750.04,-73.987471,45.390947
4620903.11,2021S05074620903.11,-73.360589,45.597556
4620903.12,2021S05074620903.12,-73.343746,45.58157
4620858.04,2021S05074620858.04,-73.42335,45.472749
4620858.05,2021S05074620858.05,-73.393032,45.455097
4620876.06,2021S05074620876.06,-73.450854,45.52281
4620876.07,2021S05074620876.07,-73.441233,45.518495
4620750.06,2021S05074620750.06,-73.964557,45.393644
4620750.07,2021S05074620750.07,-73.947729,45.386089
4620825.06,2021S05074620825.06,-73.44533,45.465306
4620825.07,2021S05074620825.07,-73.435658,45.46022
4620825.08,2021S05074620825.08,-73.406744,45.438831
4620685.07,2021S05074620685.07,-73.615331,45.758954
4620684.08,2021S05074620684.08,-73.587485,45.702234
4620684.09,2021S05074620684.09,-73.550482,45.711281
4620734.06,2021S05074620734.06,-74.085663,45.711801
4620734.07,2021S05074620734.07,-74.039618,45.68623
4620650.04,2021S05074620650.04,-73.780484,45.539074
4620650.05,2021S05074620650.05,-73.766885,45.545927
4620681.00,2021S05074620681.00,-73.359064,45.826592
4620833.00,2021S05074620833.00,-73.458611,45.340095
4620012.01,2021S05074620012.01,-73.539945,45.580317
4620012.02,2021S05074620012.02,-73.538595,45.57733
4620097.01,2021S05074620097.01,-73.621286,45.466037
4620097.02,2021S05074620097.02,-73.633863,45.459266
4620283.01,2021S05074620283.01,-73.687994,45.533495
4620283.02,2021S05074620283.02,-73.695363,45.536808
4620322.02,2021S05074620322.02,-73.614525,45.420216
4620325.01,2021S05074620325.01,-73.633724,45.427568
4620325.02,2021S05074620325.02,-73.621811,45.428534
4620325.03,2021S05074620325.03,-73.621852,45.433415
4620326.01,2021S05074620326.01,-73.619796,45.44746
4620326.02,2021S05074620326.02,-73.644307,45.433232
4620328.00,2021S05074620328.00,-73.652732,45.43283
4620395.01,2021S05074620395.01,-73.700143,45.457079
4620395.02,2021S05074620395.02,-73.689071,45.442249
4620395.03,2021S05074620395.03,-73.696223,45.443226
4620520.02,2021S05074620520.02,-73.79626,45.497577
4620590.01,2021S05074620590.01,-73.546229,45.617753
4620590.02,2021S05074620590.02,-73.549999,45.611094
4620591.01,2021S05074620591.01,-73.543566,45.602469
4620591.02,2021S05074620591.02,-73.549976,45.603861
4620603.01,2021S05074620603.01,-73.596387,45.583251
4620603.02,2021S05074620603.02,-73.599426,45.57695
4620604.01,2021S05074620604.01,-73.607736,45.593478
4620604.02,2021S05074620604.02,-73.615079,45.581758
4620605.01,2021S05074620605.01,-73.583332,45.595848
4620605.02,2021S05074620605.02,-73.59823,45.593459
4620610.01,2021S05074620610.01,-73.610774,45.61026
4620610.02,2021S05074620610.02,-73.619115,45.610631
4620610.03,2021S05074620610.03,-73.62625,45.618553
4620610.04,2021S05074620610.04,-73.62092,45.620479
4620611.01,2021S05074620611.01,-73.62185,45.598174
4620611.02,2021S05074620611.02,-73.625694,45.602345
4620617.01,2021S05074620617.01,-73.629135,45.611238
4620617.02,2021S05074620617.02,-73.634151,45.607097
4620630.01,2021S05074620630.01,-73.673508,45.591823
