ct_code,dguid,geo_name,population_2021,low_income_pct,seniors_65plus_pct,recent_immigrant_pct,no_official_language_pct,shelter_cost_burden_pct,indigenous_identity_pct,indigenous_identity_count,total_indigenous_identity_universe
4621009,2021S05074621009.00,4621009,5453,10.8,16.9,0,0.37,12.18,2.13,115,5395
4622001,2021S05074622001.00,4622001,8546,5.7,17,1.01,0.12,9.62,1.37,115,8380
4622002,2021S05074622002.00,4622002,397,5,20,0,0,0,0.0,0,450
4622003,2021S05074622003.00,4622003,0,,,,,,,,
4622004,2021S05074622004.00,4622004,3062,17.8,20.8,1.12,0,17,0.96,30,3125
4622005,2021S05074622005.00,4622005,3752,14.8,18.2,0.56,0.27,15.98,1.53,55,3600
4622006,2021S05074622006.00,4622006,5,,,,,,,,
4622007,2021S05074622007.00,4622007,1502,27.6,27.2,1.17,0.36,20.25,1.17,15,1285
4622008,2021S05074622008.00,4622008,2545,21.7,14.1,0.79,0.2,23.57,1.78,45,2530
4622009,2021S05074622009.00,4622009,5466,8.9,16.6,0.56,0.09,13.11,1.94,105,5400
4622010,2021S05074622010.00,4622010,5,,,,,,,,
4622011,2021S05074622011.00,4622011,2482,24.1,34.1,0,0,27.5,1.97,40,2035
4622012,2021S05074622012.00,4622012,1607,21.3,40.7,1.27,0.31,20.32,2.22,35,1580
4622013,2021S05074622013.00,4622013,3972,6.7,23.6,1.26,0.13,9.59,0.63,25,3965
4622014,2021S05074622014.00,4622014,3898,14.2,46.7,1.41,0.27,29.49,1.27,45,3545
4622015,2021S05074622015.00,4622015,4825,28.2,38.9,2.87,0.52,33.12,1.59,75,4710
4622100,2021S05074622100.00,4622100,1960,4.4,15.8,0,0,8.84,1.41,30,2125
4622101,2021S05074622101.00,4622101,1021,4.8,16.2,0,0,11.69,3.78,35,925
4622102,2021S05074622102.00,4622102,1041,5,18.8,0,0,12.5,1.92,20,1040
4622103,2021S05074622103.00,4622103,1663,8.2,19.5,0,0.3,6.12,2.52,40,1590
4622200,2021S05074622200.00,4622200,5633,3.2,14.8,0.8,0.18,8.01,1.42,80,5615
4622201,2021S05074622201.00,4622201,4350,3.9,16.6,0,0.11,6.67,2.65,115,4345
4622202,2021S05074622202.00,4622202,7801,4.5,19.9,1.28,0.13,15.32,1.28,100,7825
4622203,2021S05074622203.00,4622203,3907,3.5,15.2,0.39,0.13,10.62,0.65,25,3870
4622204,2021S05074622204.00,4622204,955,3.6,16.1,0,0.52,8.33,0.95,10,1050
4622205,2021S05074622205.00,4622205,4166,7,19.2,0.75,0.36,11.24,1.5,60,4000
4622206,2021S05074622206.00,4622206,1905,2.6,12.6,1.06,0.26,6.87,2.13,40,1875
4622207,2021S05074622207.00,4622207,911,2.8,19.1,0,1.1,5.88,0.0,0,890
4622300,2021S05074622300.00,4622300,2908,10.6,25.4,0,0.17,13.79,1.21,35,2895
4622301,2021S05074622301.00,4622301,3310,19.1,30.1,0.51,0.16,20.79,2.22,65,2930
4622302,2021S05074622302.00,4622302,2544,9.9,26,0.4,0,14.23,1.41,35,2490
4622303,2021S05074622303.00,4622303,10,,,,,,,,
4622304,2021S05074622304.00,4622304,1068,4.8,25.4,0,0,10.11,0.0,0,1000
4622400,2021S05074622400.00,4622400,2778,8.5,21.2,0,0,8.04,1.28,35,2730
4622401,2021S05074622401.00,4622401,4091,5.2,13.8,1.33,0.37,9.65,1.57,65,4140
4622402,2021S05074622402.00,4622402,3787,3.9,11.6,0,0.13,9.58,1.08,40,3720
